application_id,period,age,income_sgd,loan_amount_sgd,loan_tenure_months,credit_history_months,num_existing_loans,employment_status,gender,ethnicity,postal_district,debt_to_income,model_score,approved,actual_default
LIV-00000,2025-2026 (Live),28,34058,121101,36,169,5,Salaried,F,Chinese,14,1.1852,0.5897,1,0
LIV-00001,2025-2026 (Live),65,67078,63659,60,74,4,Contract,M,Chinese,22,0.1898,0.8655,1,0
LIV-00002,2025-2026 (Live),27,49467,122768,84,7,0,Self-Employed,M,Chinese,20,0.3545,0.5185,1,0
LIV-00003,2025-2026 (Live),56,41035,84489,24,218,3,Salaried,F,Chinese,6,1.0295,0.5879,1,0
LIV-00004,2025-2026 (Live),58,30760,83868,60,171,3,Salaried,M,Chinese,16,0.5453,0.5342,1,0
LIV-00005,2025-2026 (Live),25,66540,117417,36,237,2,Salaried,M,Chinese,4,0.5882,0.8381,1,0
LIV-00006,2025-2026 (Live),35,29964,98183,24,180,1,Salaried,F,Chinese,9,1.6383,0.6873,1,0
LIV-00007,2025-2026 (Live),27,80703,59706,60,124,3,Salaried,M,Chinese,8,0.148,0.8524,1,1
LIV-00008,2025-2026 (Live),38,24115,132561,24,213,2,Salaried,F,Malay,26,2.7485,0.5706,1,0
LIV-00009,2025-2026 (Live),45,164087,29932,60,194,0,Salaried,M,Chinese,6,0.0365,0.671,1,0
LIV-00010,2025-2026 (Live),34,20140,138707,48,26,3,Salaried,M,Chinese,10,1.7218,0.5074,1,0
LIV-00011,2025-2026 (Live),33,265716,74255,36,138,0,Contract,F,Chinese,24,0.0932,0.8469,1,1
LIV-00012,2025-2026 (Live),50,33551,116122,36,154,5,Contract,M,Chinese,7,1.1537,0.4972,1,1
LIV-00013,2025-2026 (Live),45,69958,170189,60,134,4,Unemployed,M,Chinese,11,0.4865,0.188,0,1
LIV-00014,2025-2026 (Live),55,80144,100619,60,123,3,Salaried,M,Indian,5,0.2511,0.7917,1,1
LIV-00015,2025-2026 (Live),35,47479,47532,60,90,3,Self-Employed,M,Chinese,14,0.2002,0.6653,1,0
