application_id,period,age,income_sgd,loan_amount_sgd,loan_tenure_months,credit_history_months,num_existing_loans,employment_status,gender,ethnicity,postal_district,debt_to_income,model_score,approved,actual_default
TRN-00000,2022-2023 (Training),60,17653,21473,36,206,3,Contract,M,Malay,17,0.4055,0.6115,1,0
TRN-00001,2022-2023 (Training),50,37134,133771,84,152,0,Salaried,F,Chinese,21,0.5146,0.8223,1,0
TRN-00002,2022-2023 (Training),36,33941,130801,24,223,0,Self-Employed,F,Malay,12,1.9269,0.6742,1,1
TRN-00003,2022-2023 (Training),64,92146,112598,12,180,1,Salaried,M,Chinese,13,1.222,0.8825,1,0
TRN-00004,2022-2023 (Training),29,26663,91623,48,211,1,Contract,F,Chinese,8,0.8591,0.7311,1,0
TRN-00005,2022-2023 (Training),42,31047,41820,12,16,3,Salaried,M,Chinese,10,1.347,0.6141,1,0
TRN-00006,2022-2023 (Training),60,38990,62589,60,184,0,Salaried,F,Chinese,7,0.3211,0.8978,1,0
TRN-00007,2022-2023 (Training),40,34610,23414,12,202,1,Contract,M,Chinese,2,0.6765,0.8065,1,0
TRN-00008,2022-2023 (Training),44,111474,132378,24,204,0,Salaried,F,Chinese,16,0.5938,0.7144,1,0
TRN-00009,2022-2023 (Training),32,24756,29220,84,216,0,Salaried,M,Chinese,4,0.1686,0.99,1,0
TRN-00010,2022-2023 (Training),32,39040,65531,36,147,1,Salaried,M,Indian,6,0.5595,0.7977,1,0
TRN-00011,2022-2023 (Training),45,59828,115002,84,127,2,Salaried,M,Malay,7,0.2746,0.9743,1,0
TRN-00012,2022-2023 (Training),57,83175,14387,48,152,2,Salaried,F,Chinese,23,0.0432,0.7389,1,0
TRN-00013,2022-2023 (Training),61,39020,81815,36,169,1,Self-Employed,M,Chinese,19,0.6989,0.6937,1,0
TRN-00014,2022-2023 (Training),45,15508,32584,48,172,3,Salaried,M,Malay,24,0.5253,0.8763,1,0
TRN-00015,2022-2023 (Training),24,44798,49783,48,30,4,Salaried,F,Indian,23,0.2778,0.7703,1,0
TRN-00016,2022-2023 (Training),43,110328,129494,24,64,0,Salaried,M,Chinese,4,0.5869,0.8873,1,1
TRN-00017,2022-2023 (Training),23,58064,120814,24,179,4,Salaried,F,Chinese,10,1.0404,0.7048,1,0
TRN-00018,2022-2023 (Training),45,56491,135752,60,79,1,Self-Employed,F,Chinese,4,0.4806,0.5956,1,0
TRN-00019,2022-2023 (Training),65,25904,146929,60,239,0,Contract,F,Chinese,20,1.1344,0.6772,1,0
TRN-00020,2022-2023 (Training),51,24357,78588,48,91,4,Salaried,M,Chinese,5,0.8066,0.5734,1,0
TRN-00021,2022-2023 (Training),59,49554,18580,84,148,2,Self-Employed,M,Malay,14,0.0536,0.8132,1,0
TRN-00022,2022-2023 (Training),23,20830,23240,60,29,3,Salaried,M,Chinese,11,0.2231,0.873,1,0
TRN-00023,2022-2023 (Training),42,78340,88446,24,122,4,Salaried,M,Chinese,2,0.5645,0.8992,1,0
TRN-00024,2022-2023 (Training),54,29496,109533,60,130,3,Salaried,M,Chinese,9,0.7427,0.7409,1,0
TRN-00025,2022-2023 (Training),33,48300,85974,48,225,2,Salaried,F,Chinese,22,0.445,0.8545,1,0
TRN-00026,2022-2023 (Training),43,15812,78401,36,69,4,Salaried,M,Chinese,12,1.6528,0.6301,1,0
TRN-00027,2022-2023 (Training),65,38704,148283,84,170,1,Salaried,M,Chinese,24,0.5473,0.7454,1,0
